Mark Delivered, Marca entregada
Mark as shipped, Marcar como enviado
Minimum purchased amount, Importe mínimo de compra
Minimum purchase qty, Cantidad mínima de compra
Monthly, Mensual
Minimum order price, Precio mínimo de pedido
Minimum order weight, Peso mínimo del pedido
Maximum order price, Precio máximo del pedido
Maximum order weight, Peso máximo del pedido
Minimum purchase amount, Monto mínimo de compra
Minimum quantity, Cantidad mínima
meta_description, Descripción meta
New Product, Nuevo Producto
Not required, No requerido
Not found, No encontrado
Name, Nombre
New Category, Nueva categoría
New Attribute, Nuevo atributo
New Collection, Nueva colección
New Coupon, Nuevo cupón
New Page, Nueva página
Not visible, No visible
No collections, No hay colecciones
No free shipping, Sin envío gratuito
No notes from customer, No hay notas del cliente
No results for, No hay resultados para
No groups found for query &quot;{inputValue}&rdquo;, No se encontraron grupos para la consulta {inputValue};
Next, Siguiente
None, Ninguno
No product to display., No hay producto para mostrar.
Oh no..., Oh no...
Orders, Pedidos
Operator, Operador
orders, pedidos
Order must contains product matched bellow conditions(All), El pedido debe contener productos que cumplan con las siguientes condiciones (Todos)
Others, Otros
Order conditions, Condiciones del pedido
Order Number, Número de orden
One column, Una columna
order and other resources, pedidos y otros recursos
of orders completed, de pedidos completados
of orders cancelled, de pedidos cancelados
Quick links, Link rápidos
Parent category, Categoría padre
Province, Provincia
Products, Productos
Product type, Tipo de producto
Product saved successfully!, ¡Producto guardado exitosamente!
Page Not Found, Página No Encontrada
Pending, Pendiente
Proportional allocation based on cart items, Asignación proporcional en función de los artículos del carrito
Pages, Páginas
Paid, Pagado
Paypal Payment, Pago con Paypal
Processing, Procesando
Page saved successfully!, ¡Página guardada exitosamente!
Price, Precio
Promotion, Promoción
Product status, Estado del producto
Publishable Key, Clave publicable
Previous, Previo
Publishable Key, Clave publicable
Payment status, Estado del pago
PostalCode, Código Postal
per page, por página
pending, pendiente
Password, Contraseña
Percentage discount to entire order, Porcentaje de descuento sobre todo el pedido
Percentage discount to specific products, Porcentaje de descuento en productos específicos
Payment Setting, Configuración de pago
quickLinks, Acceso rápido
Quantity, Cantidad
Required, Requerido
Results for, Resultados para
Remove, Remover
records, archivos
Setting, Configuración
Search, Buscar
Search products, Buscar productos
Save, Guardar
Start date, Fecha de inicio
Simple, Sencillo
Sandbox, Salvadera
Select category, Seleccionar categoría
Search for products, Búsqueda de productos
Send notification to the customer, Enviar notificación al cliente
Sale Statistics, Estadísticas de venta
Select Products, Seleccionar productos
Search attribute groups, Buscar grupos de atributos
Setting saved, Configuración guardada
SKU, SKU
select, seleccionar
Show, Mostrar
Shipping Address, Dirección de envío
Ship, Envío
Select groups the attribute belongs to, Seleccionar grupos a los que pertenece el atributo
Store Address, Dirección de la tienda
Stripe Payment, Pago con Stripe
Shipped, Enviado
State Date, Estado Fecha
Store Name, Nombre de la tienda
Setup shipping cost, Configurar el costo de envío
Store Email, Correo electrónico de la tienda
Store Description, Descripción de la tienda
Start shipment, Iniciar envío
Store Information, Información de la tienda
Store Phone Number, Número de teléfono de la tienda
Secret Key, Clave secreta
sold, vendido
Something wrong. Please reload the page!, Algo no va bien. Por favor recarga la página!
Shipment Status, Estado del envío
Shipment status, Estado del envío
Show to customers?, Mostrar a los clientes?
Sort order, Orden de clasificación
Select, Seleccionar
Stock, Existencias
Search engine optimize, Optimización de motores de búsqueda
Stock availability, Disponibilidad de stock
Shipping tax class, Clase de impuesto de envío
Status, Estado
Sale, Venta
Store Setting, Configuración de la tienda
Shipping Setting, Configuración de envío
shipping methods and delivery fee, métodos de envío y tarifa de envío
Shipping, Envío
Ship Items, Artículos de envío
Size, Talla
Text, Texto
There is no order to display, No hay ningún orden para mostrar
Type, Tipo
Tax setting has been saved successfully!, ¡La configuración de impuestos se ha guardado correctamente!
Total, Total
This field can not be empty, Este campo no puede estar vacío
Thumbnail, Thumbnail
Tracking number, El número de rastreo
Two columns left, Dos columnas a la izquierda
Two columns right, Dos columnas a la derecha
Three columns, Tres columnas
TRY OTHER RESOURCES, PRUEBE OTROS RECURSOS
Textarea, Área de texto
Tax Setting, Configuración fiscal
Tax, Impuesto
Taxable Goods, Bienes sujetos a impuestos
Tax classes, Clases de impuestos
Tax class, Clase de impuesto
Track shipment, Seguimiento del envío
There is no product to display, No hay ningún producto para mostrar
There is no categoryop no y to display, No hay ninguna categoría para mostrar
There is no collections to display, No hay ninguna colección para mostrar
There is no customer to display, No hay ningún cliente para mostrar
There is no coupon to display, No hay ningún cupón para mostrar
There is no page to display, No hay ninguna página para mostrar
Url key, Clave de URL
Unique ID, ID único
Use comma when you have multi email, Utilice comas cuando tenga varios correos electrónicos
Unassign, Anular asignación
Update tracking, Seguimiento de actualizaciones
Used Times, Tiempos usados
Variant, Variante
Visible, Visible
Visibility, Visibilidad
Value, Valor
Version 1.0 dev, Version 1.0 dev
Where you ship, Dónde se realizan los envíos
Weekly, Semanal 
Webhook Secret Key, Clave secreta del webhook
Weight, Peso
White, Blanco
Yes, Si
You have no groups to display, No tienes grupos para mostrar
Yellow, Amarillo
